ward|project_name|year|status|amount|category|project_type|constituency|source_file|data_conflict
Filenge|Rehabilitation Of 2 Xstaff Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Filenge|Market|2025|Deferred / Not Approved||Commerce||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Filenge|5x Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Filenge|1x3classroom Block And 2x Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Filenge|Ablution Block And A Health Facility at Kayumba|2025|Approved||Education / Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Filenge|Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chimpili|1x3 Classroom Block,4xstaff Houses, Water Borne Toilet And Stand Alone Ece Classroom Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chimpili|Road, 2x Bridges, 1x2 Class Room Block , Water Solar Installation And 2x Teachers Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chimpili|Mingomba / Kanga Road|2025|Deferred / Not Approved||Infrastructure||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chimpili|Police Post|2025|Deferred / Not Approved||Home Afairs||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chimpili|Classroom Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|Furniture, Laboratory Equipments And Materials And Sports Equipments|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|Matresses, Furniture And Sports Equipment|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|Water Project|2025|Deferred / Not Approved||Water Development||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|1x3 Classroom Block Crb, Ablution Block, Staff Houses And Bad Road|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|1x3 Classroom Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|1x3 Classroom Block, 4x Stuff Houses, Ablution Block And Solar Pump Borehole|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|1x2 Classroom Block And Electricity Connection|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|Market|2025|Deferred / Not Approved||Commerce||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|1x3 Classroom Block And 2x Offices|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Health Facility|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Water Project|2025|Deferred / Not Approved||Water Development||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Camp House Project|2025|Deferred / Not Approved||Agriculture||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Construction Of Staff House, Ablution Block And Water Scheme At Katota Health Post|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Classroom Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Classroom Block, Ablution Block, Electricity And Borehore|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Classroom Block, Road, Health Facility And Water|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Mulunda|1x3 Classroom Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Mulunda|Construction of Health Facility at Mawaya|2025|Approved||Health||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|True
Mulunda|Water And Housing Project|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Pambashe|Classroom Block, Borehore, Ablution Block, Teachers Houses And Road|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Pambashe|Health Facility|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Pambashe|Teachers Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Pambashe|Water Project|2025|Deferred / Not Approved||Water Development||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Pambashe|Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Kabanse|Transport Motorbike|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Kabanse|Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Kabanse|Maternity Annex|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Kabanse|3x Teachers Houses And Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Water Project|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|2x Teachers Houses|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Installation Of Solar Irrigation Facility|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Borehore Project|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Community School|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Agriculture Storage Facility|2025|Deferred / Not Approved||Agriculture||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|2x Health Staff Houses|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chikanda|Grading Of Feeder Road|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|Road And Transport|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|Classroom Block, Teachers Houses, Water And Sanitation|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|2x Health Staff Houses And Electricity|2025|Deferred / Not Approved||Health||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|Road Network|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|Construction Of Staff House At Kasonde Health Post|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Luongo|Ablution Block|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Mulunda|Water Project|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Ilombe|Office Furnitures|2025|Deferred / Not Approved||Education||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Mulunda|Road Construction|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Chibote|Road Construction|2025|Deferred / Not Approved||Community||Pambashe|2025-Pambashe-CommProjects-updated.pdf|False
Constituency-wide / Not Specified|Procurement of Tipper Truck|2025|Approved||Transport||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Grader|2025|Approved||Transport||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Front end Loader|2025|Approved||Transport||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of water Bowser|2025|Approved||Transport||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Servicing of Equipment|2025|Approved||Transport||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Completion of Office Block at Civic Centre|2025|Approved||Administration||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Sever and Equipment|2025|Approved||Administration||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Solar Equipment|2025|Approved||Administration||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Renovation of DCs Office|2025|Approved||Administration||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|District Hospital Mortuary|2025|Approved||Health||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Completion of Two Bed room Staff House Misakalala|2025|Approved||Health||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Completion of Two Bed room Staff House Muchulila|2025|Approved||Health||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Completion of two Bed room Staff House Kamfukeshi|2025|Approved||Education||Kawambwa|APPROVED-KAWAMBWA-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Tipper Truck|2025|Approved||Transport||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Grader|2025|Approved||Transport||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Excavator|2025|Approved||Transport||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Servicing of Equipment|2025|Approved||Transport||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Office Block|2025|Approved||Administration||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Solar Equipment Civic Centre|2025|Approved||Administration||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Sever and Equipment|2025|Approved||Administration||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Renovation of DC Office|2025|Approved||Administration||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|District Mortuary Equipment|2025|Approved||Health||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Construction of Water Scheme at Mawaya|2025|Approved||Water & Sanitation||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Medical Equipment Mawaya|2025|Approved||Health||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Construction of Health Facility Kuyumba|2025|Approved||Health||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Construction of Scheme Kuyumba15|2025|Approved||Water & Sanitation||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
Constituency-wide / Not Specified|Procurement of Medical Equipment Kuyumba|2025|Approved||Health||Pambashe|APPROVED-PAMBASHE-COMMUNITY-PROJECTS-2025.pdf|False
